,id,gender,masterCategory,subCategory,articleType,baseColour,season,year,usage,caption,ner_gender,ner_articleType,ner_color,ner_brand,ner_product_attributes,gender_match,articleType_match,color_match
28,56019,women,Personal Care,Lips,lipstick,brown,Spring,2017.0,Casual,Colorbar Soft Touch Show Stopper Copper Lipstick 037,,lipstick,,colorbar,soft touch stopper copper,False,True,False
29,21977,women,Accessories,Bags,handbags,brown,Winter,2015.0,Casual,Murcia Women Casual Brown Handbag,women,handbag,brown,murcia,,True,False,True
30,37812,men,Apparel,Topwear,shirts,navy blue,Summer,2012.0,Formal,John Players Men Navy Blue Shirt,men,shirt,navy blue,john players,,True,False,True
31,4729,boys,Apparel,Topwear,tshirts,green,Summer,2011.0,Casual,Disney Kids Boy's Crew Sea Life Sialing Green Teen Kidswear,boy,,green,disney,,False,False,True
32,56825,men,Apparel,Topwear,shirts,brown,Summer,2012.0,Casual,John Players Men Brown Shirt,men,shirt,brown,john players,,True,False,True
33,39988,men,Footwear,Shoes,casual shoes,white,Winter,2014.0,Casual,Gas Men Europa White Shoes,men,,white,gas,europa,True,False,True
34,59051,women,Footwear,Shoes,flats,black,Winter,2012.0,Casual,Carlton London Women Black & Gold Toned Flats,women,flat,black,carlton london,gold tone,True,False,True
35,20099,women,Apparel,Topwear,kurtas,green,Fall,2011.0,Ethnic,Diva Women Embroided Green Kurta,women,kurta,green,diva,embroide,True,False,True
36,58183,women,Accessories,Bags,handbags,white,Summer,2012.0,Casual,Rocky S Women White Handbag,women,handbag,white,rocky,s,True,False,True
37,29742,women,Accessories,Bags,handbags,teal,Summer,2012.0,Casual,Kiara Women Teal Handbag,women,handbag,teal,kiara,,True,False,True
38,51658,women,Accessories,Watches,watches,copper,Winter,2016.0,Casual,Fossil Women Copper Chronograph Watch CH2589,women,watch,copper,fossil,chronograph,True,False,True
39,3954,women,Apparel,Topwear,tshirts,pink,Summer,2011.0,Casual,Jealous 21 Women's Pink T-shirt,women,shirt,pink,,,True,False,True
40,18839,men,Accessories,Belts,belts,black,Fall,2011.0,Formal,Peter England Men Formal Black Belt,men,belt,black,peter england,,True,False,True
41,2886,women,Footwear,Shoes,flats,brown,Winter,2015.0,Casual,Catwalk Women Leather Brown Flats,women,flat,brown,catwalk,leather,True,False,True
42,23278,men,Accessories,Watches,watches,off white,Winter,2016.0,Casual,Maxima Ssteele Men Off White Watch,men,watch,white,maxima,ssteele,True,False,False
43,28690,women,Apparel,Topwear,kurtas,beige,Summer,2012.0,Ethnic,W Women Printed Beige Kurta,women,kurta,beige,,,True,False,True
44,8580,men,Apparel,Topwear,waistcoat,grey,Fall,2011.0,Casual,Scullers Men  Grey Waistcoat,men,waistcoat,grey,sculler,,True,True,True
45,3168,men,Footwear,Shoes,sports shoes,white,Fall,2010.0,Sports,Nike Men's Incinerate MSL White Blue Shoe,men,,white,nike,,True,False,True
46,18005,men,Apparel,Bottomwear,shorts,black,Summer,2011.0,Sports,Puma Men Long Logo Black Bermuda,men,,black,puma,,True,False,True
47,17871,men,Apparel,Innerwear,briefs,maroon,Winter,2016.0,Casual,Levis Men Boxer Maroon Brief,men,brief,maroon,levis,boxer,True,False,True
48,9452,men,Apparel,Topwear,shirts,red,Fall,2011.0,Formal,John Miller Men Stripes White Red Shirts,men,shirt,white,john miller,,True,False,False
49,38402,women,Accessories,Belts,belts,black,Summer,2012.0,Casual,Baggit Women Hood Dabang Black Belt,women,belt,black,baggit,hood dabang,True,False,True
50,44984,women,Accessories,Watches,watches,white,Winter,2016.0,Casual,Maxima Women White Dial Watch,women,watch,white,maxima,dial,True,False,True
51,10268,men,Footwear,Shoes,formal shoes,black,Fall,2012.0,Formal,Clarks Men Hang Work Leather Black Formal Shoes,men,formal shoe,black,clark,hang work leather,True,False,True
52,45856,women,Apparel,Topwear,kurtas,brown,Summer,2012.0,Ethnic,Vishudh Women Brown Kurta,women,kurt,brown,vishudh,##a,True,False,True
53,32138,men,Apparel,Innerwear,briefs,blue,Summer,2016.0,Casual,Playboy Men Blue Titanium Briefs,men,brief,blue,playboy,titanium,True,False,True
54,59435,men,Footwear,Shoes,formal shoes,black,Summer,2012.0,Formal,Arrow Men Black Formal Shoes,men,formal shoe,black,arrow,,True,False,True
55,5891,men,Apparel,Topwear,tshirts,black,Summer,2011.0,Casual,Puma Men's Stripe Polo Black T-shirt,men,t shirt,black,puma,,True,False,True
56,38630,women,Apparel,Topwear,tshirts,purple,Summer,2012.0,Casual,Nike Women Purple Polo T-shirt,women,shirt,purple,nike,polo t -,True,False,True
57,4943,men,Apparel,Topwear,shirts,white,Summer,2011.0,Casual,Gini and Jony Boy's Kaleb White Brown Kidswear,boy,,white,gini jony,,False,False,True
58,11188,men,Accessories,Watches,watches,silver,Winter,2016.0,Casual,Carrera Men Dial steel finish strap Silver Watches,men,watch,silver,carrera,dial steel finish strap,True,False,True
59,10866,men,Apparel,Topwear,tshirts,red,Fall,2011.0,Casual,Wrangler Men Motor Rider Red T-Shirts,men,t - shirt,red,wrangl,motor rider,True,False,True
60,59607,women,Apparel,Saree,sarees,grey,Fall,2012.0,Ethnic,FNF Pink & Grey Wedding Collection Sari,,,grey,fnf,wedding ##i,False,False,True
61,15528,men,Apparel,Topwear,tshirts,black,Fall,2011.0,Casual,Puma Men Scribble Black Tshirts,men,,black,puma,,True,False,True
62,45258,men,Accessories,Watches,watches,black,Winter,2016.0,Casual,CASIO EDIFICE Men Black Dial Chronograph Watch ED60,men,watch,black,casio,,True,False,True
63,42841,women,Accessories,Bags,handbags,beige,Summer,2012.0,Casual,French Connection Women Beige Handbag,women,handbag,beige,french connection,,True,False,True
64,22198,men,Footwear,Shoes,casual shoes,black,Fall,2012.0,Casual,Timberland Men Black Casual Shoes,men,casual shoe,black,timberland,,True,False,True
65,29570,men,Footwear,Shoes,casual shoes,purple,Summer,2012.0,Casual,Vans Men Classic Slip-On Purple & Black Shoes,men,,purple,van,,True,False,True
66,43993,women,Personal Care,Fragrance,perfume and body mist,pink,Spring,2017.0,Casual,Police Women Passion Perfume,women,,,police,passion,True,False,False
67,6628,men,Footwear,Shoes,sports shoes,white,Summer,2011.0,Sports,ADIDAS Men's Lowell White Silver Shoe,men,,white,adida,,True,False,True
68,54924,men,Apparel,Bottomwear,shorts,blue,Summer,2012.0,Casual,Do U Speak Green Men Blue Shorts,men,short,blue,u speak green,,True,False,True
69,26538,men,Footwear,Shoes,casual shoes,red,Fall,2012.0,Casual,ID Men Red Shoes,men,,red,d,,True,False,True
70,35913,women,Accessories,Bags,handbags,black,Summer,2012.0,Casual,Peperone Women Black & White Handbag,women,handbag,black,peperone,white,True,False,True
71,49495,men,Footwear,Shoes,casual shoes,khaki,Summer,2012.0,Casual,Vans Men Khaki Shoes,men,,khaki,,van,True,False,True
72,9660,men,Apparel,Topwear,shirts,pink,Fall,2011.0,Casual,Indigo Nation Men Reversible Bling Pink Shirts,men,shirt,pink,indigo nation,reversible bling,True,False,True
73,2288,women,Apparel,Topwear,tshirts,black,Fall,2010.0,Sports,Nike Women Black T-shirt,women,shirt,black,nike,t -,True,False,True
74,23876,men,Apparel,Topwear,sweatshirts,blue,Fall,2011.0,Casual,ADIDAS Men Blue Sweatshirt,men,sweatshirt,blue,adida,,True,False,True
75,18237,men,Apparel,Topwear,tshirts,red,Fall,2011.0,Casual,Manchester United Men Solid Red Tshirt,men,,red,manchester united,,True,False,True
76,54118,women,Footwear,Shoes,heels,black,Winter,2012.0,Casual,Rocia Women Black Flats,women,,black,rocia,flat,True,False,True
77,2872,women,Footwear,Shoes,heels,brown,Winter,2015.0,Casual,Catwalk Women Leather Flats,women,,,catwalk,leather flat,True,False,False
78,49653,women,Apparel,Topwear,tops,green,Summer,2012.0,Casual,Mineral Women Green Top,women,,green,mineral,,True,False,True
79,8574,women,Footwear,Sandal,sandals,pink,Fall,2011.0,Casual,Crocs Dora Boots Pink Sandals,,sandal,pink,crocs,dora boot,False,False,True
80,16957,men,Accessories,Eyewear,sunglasses,black,Winter,2016.0,Casual,Image Men Sunglasses,men,sunglass,,image,,True,False,False
81,19123,men,Footwear,Flip Flops,flip flops,silver,Fall,2011.0,Casual,Lotto Men XL Water Man Silver Slippers,men,,silver,lotto,,True,False,True
82,13419,men,Apparel,Topwear,tshirts,pink,Summer,2011.0,Casual,United Colors of Benetton Men Solid Pink Polo T-shirts,men,shirt,pink,,,True,False,True
83,17885,men,Apparel,Innerwear,innerwear vests,grey,Summer,2016.0,Casual,Levis Men Comfort Style Grey Innerwear Vest,men,innerwear vest,grey,levis,comfort style,True,False,True
84,43369,men,Footwear,Flip Flops,flip flops,black,Summer,2013.0,Casual,Reebok Men Black Possession Flip Flops,men,,black,reebok,possession flip flop,True,False,True
85,48781,women,Accessories,Jewellery,pendant,silver,Summer,2012.0,Casual,Lucera Women Silver Pendant,women,pendant,silver,lucera,,True,True,True
86,44970,men,Accessories,Watches,watches,white,Winter,2016.0,Casual,Maxima Men White Dial Analog Chronograph Watch,men,watch,white,maxima,dial analog chronograph,True,False,True
87,56489,women,Personal Care,Nails,nail polish,bronze,Spring,2017.0,,Streetwear Ash Nail Polish # 31,,nail polish,,streetwear,ash,False,True,False
88,39524,unisex,Accessories,Bags,laptop bag,orange,Summer,2012.0,Casual,Peter England Unisex Orange Sleeve Bag,unisex,,orange,,,True,False,True
89,33822,men,Footwear,Shoes,sports shoes,white,Summer,2012.0,Sports,Puma Men Axis White & Grey Sports Shoes,men,sport shoe,white,puma,,True,False,True
90,58513,women,Apparel,Topwear,tops,off white,Summer,2012.0,Casual,Tonga Women Maroon Top,women,,maroon,tonga,,True,False,False
91,25947,women,Accessories,Scarves,scarves,brown,Summer,2012.0,Casual,Femella Women Brown Scarf,women,scarf,brown,femella,,True,False,True
92,52029,unisex,Apparel,Topwear,rain jacket,coffee brown,Summer,2012.0,,Just Natural Unisex Charcoal Rain Jacket,unisex,rain jacket,charcoal,natural,,True,True,False
93,5865,men,Apparel,Topwear,tshirts,black,Summer,2011.0,Casual,ADIDAS Men's Twelve Faster T-shirt,men,shirt,,adida,s fast t -,True,False,False
94,39716,women,Apparel,Dress,dresses,blue,Summer,2012.0,Casual,Arrow Woman Women Blue Dress,woman,dress,blue,arrow,,False,False,True
95,25349,men,Apparel,Innerwear,briefs,red,Summer,2016.0,Casual,Levis Men Red Brief,men,brief,red,levis,,True,False,True
96,11940,men,Footwear,Sandal,sandals,black,Summer,2011.0,Casual,Ganuchi Men Casual Black Sandals,men,sandal,black,ganuchi,,True,False,True
97,55802,women,Apparel,Loungewear and Nightwear,night suits,white,Summer,2017.0,Casual,SDL by Sweet Dreams Women Green Printed Night Suit S11-3124,women,night suit,green,sdl sweet dream,,True,False,False
98,29584,men,Apparel,Topwear,tshirts,black,Summer,2012.0,Casual,Indigo Nation Men Printed Black T-shirt,men,shirt,black,indigo nation,,True,False,True
99,43967,women,Personal Care,Fragrance,perfume and body mist,red,Spring,2017.0,Casual,DKNY Women Red Delicious Perfume,women,,red,dkny,delicious,True,False,True
100,28456,women,Apparel,Bottomwear,skirts,blue,Summer,2012.0,Sports,Urban Yoga Women Blue Skirt With Leggings,women,skirt legging,blue,urban yoga,,True,False,True
101,34009,girls,Apparel,Topwear,tops,black,Summer,2012.0,Casual,Gini and Jony Girls Black Top,girls,,black,gini jony,,True,False,True
102,19311,men,Footwear,Shoes,casual shoes,white,Fall,2011.0,Casual,Nike Men Air Rift MTR White Casual Shoe,men,casual shoe,white,nike,air rift mtr,True,False,True
103,42089,men,Footwear,Shoes,sports shoes,white,Summer,2012.0,Sports,ADIDAS Men White Corona Sports Shoes,men,sport shoe,white,adida,corona,True,False,True
104,22950,unisex,Accessories,Watches,watches,black,Winter,2016.0,Casual,Fastrack Unisex Black Dial Watch 9915PP13,unisex,watch,black,fastrack,dial,True,False,True
105,49461,men,Footwear,Shoes,casual shoes,blue,Summer,2012.0,Casual,Vans Men Blue Era Scilla Plaid Shoes,men,,blue,van,,True,False,True
106,8746,unisex,Footwear,Flip Flops,flip flops,navy blue,Summer,2015.0,Casual,Crocs Kids Navy Blue Clogs,,clogs,navy blue,crocs,kids,False,False,True
107,9694,men,Apparel,Topwear,tshirts,white,Fall,2011.0,Casual,Classic Polo Men Vulcan White Polo Tshirts,men,,white,classic,,True,False,True
108,23882,men,Footwear,Shoes,sports shoes,grey,Fall,2011.0,Sports,Fila Men Destiny Grey Sports Shoes,men,sport shoe,grey,fila,,True,False,True
109,34835,men,Footwear,Shoes,sports shoes,blue,Summer,2012.0,Sports,ADIDAS Men Blue Chill Sports Shoes,men,sport shoe,blue,adida,chill,True,False,True
110,15984,men,Apparel,Topwear,shirts,yellow,Fall,2011.0,Casual,Turtle Check Men Yellow Shirt,men,shirt,yellow,turtle check,,True,False,True
111,41268,men,Accessories,Wallets,wallets,black,Summer,2012.0,Casual,Arrow Men Black Wallet,men,wallet,black,arrow,,True,False,True
112,11518,women,Footwear,Shoes,heels,grey,Winter,2015.0,Casual,Catwalk Women Gun Metal Grey Heels,women,heel,grey,catwalk,gun metal,True,False,True
113,14856,women,Accessories,Wallets,wallets,beige,Summer,2011.0,Casual,United Colors of Benetton Women Solid Beige Wallets,women,wallet,beige,,,True,False,True
114,33648,men,Footwear,Sandal,sandals,brown,Summer,2012.0,Casual,Lotto Men Ridge Brown Sandals,men,sandal,brown,lotto,ridge,True,False,True
115,59297,men,Apparel,Topwear,shirts,white,Fall,2012.0,Casual,U.S. Polo Assn. Men White & Navy Blue Shirt,men,shirt,white,u s,,True,False,True
116,28032,men,Apparel,Innerwear,briefs,white,Summer,2016.0,Casual,Jockey ELANCE Men Bikini White Brief 1005,men,brief,white,jockey,,True,False,True
117,27846,women,Apparel,Topwear,blazers,charcoal,Summer,2012.0,Formal,Scullers For Her Charcoal Blazer,,blazer,charcoal,sculler,,False,False,True
118,26994,women,Apparel,Bottomwear,jeans,black,Summer,2012.0,Casual,Jealous 21 Women Black Jeans,women,jean,black,,jealous,True,False,True
119,49839,women,Footwear,Flip Flops,flip flops,red,Winter,2012.0,Casual,iPanema Women Red Flip Flops,women,flip flop,red,ipanema,,True,False,True
120,31923,women,Accessories,Bags,handbags,blue,Summer,2012.0,Casual,Fabindia Women Blue Silk Sling Bag,women,,blue,fabindia,silk sling,True,False,True
121,2618,women,Footwear,Shoes,flats,silver,Spring,2010.0,Casual,Carlton London Women Silver Wedge Sandal,women,,silver,carlton london,wedge sandal,True,False,True
122,54588,women,Apparel,Topwear,kurtas,green,Summer,2012.0,Ethnic,Sushilas Women Printed Green Kurta,women,kurta,green,sushilas,print,True,False,True
123,49005,women,Accessories,Jewellery,ring,silver,Summer,2012.0,Casual,Lucera Women Silver Ring,women,ring,silver,lucera,,True,True,True
124,8322,boys,Apparel,Topwear,tshirts,blue,Fall,2011.0,Casual,Doodle Boy's Route 66 Biker Blue Teen Kidswear,boy,,blue,doodle,,False,False,True
125,13841,unisex,Accessories,Watches,watches,white,Winter,2016.0,Casual,ADIDAS Unisex Three Small Dials White Watches,unisex,watch,white,adidas,small dial,True,False,True
126,28200,men,Accessories,Eyewear,sunglasses,copper,Winter,2016.0,Casual,Ray-Ban Men Active Lifestyle Copper Sunglasses,men,sunglass,copper,ray - ban,active lifestyle,True,False,True
127,12993,unisex,Footwear,Shoes,sports shoes,black,Fall,2011.0,Sports,ADIDAS Kids Adispeed Black Sports Shoes,,sport shoe,black,adida,kid,False,False,True
128,7158,men,Apparel,Topwear,shirts,green,Fall,2011.0,Casual,Scullers Men  Green Check Shirt,men,shirt,green,sculler,check,True,False,True
129,18495,men,Footwear,Sandal,sandals,white,Fall,2011.0,Casual,Puma Men Fashion Cat White Slipper,men,,white,puma,,True,False,True
130,8110,men,Accessories,Watches,watches,black,Winter,2016.0,Casual,Fastrack Men Economy 2 Analg Black Watch,men,watch,black,fastrack,economy analg,True,False,True
131,19547,men,Apparel,Topwear,sweatshirts,blue,Fall,2011.0,Casual,United Colors of Benetton Men Solid Blue Sweatshirt,men,sweatshirt,blue,,,True,False,True
132,7964,men,Apparel,Topwear,tshirts,black,Fall,2011.0,Sports,Puma Men's Large Logo Graphic Black T-shirt,men,t - shirt,black,puma,s large logo graphic,True,False,True
133,36934,women,Personal Care,Fragrance,perfume and body mist,gold,Spring,2017.0,Casual,Giorgio Armani Women Idole Perfume,women,,,giorgio armani,idole,True,False,False
134,39140,women,Apparel,Apparel Set,kurta sets,black,Summer,2012.0,Ethnic,Aneri Women Black & Maroon Salwar Suit,women,,black,aneri,maroon salwar suit,True,False,True
135,20851,women,Accessories,Bags,clutches,red,Winter,2015.0,Casual,Spice Art Women Ribbon Embroidery Red Clutch,women,clutch,red,spice art,ribbon embroidery,True,False,True
136,41866,men,Footwear,Sandal,sandals,beige,Fall,2015.0,Casual,Estd. 1977 Men Beige & Green Sandals,men,sandal,,,,True,False,False
137,58177,women,Accessories,Bags,handbags,brown,Summer,2012.0,Casual,Rocky S Women Brown Handbag,women,handbag,brown,rocky,s,True,False,True
138,44528,men,Footwear,Sandal,sandals,black,Summer,2012.0,Casual,Coolers Men Black Sandals,men,sandal,black,,cooler,True,False,True
139,16392,men,Apparel,Topwear,shirts,red,Fall,2011.0,Casual,Levis Men Check Red Shirts,men,shirt,red,levis,check,True,False,True
140,51455,women,Apparel,Topwear,shrug,pink,Summer,2012.0,Casual,Tonga Women Pink Printed Shrug,women,shrug,pink,tonga,print,True,True,True
141,50587,men,Apparel,Innerwear,briefs,grey,Summer,2016.0,Casual,Chromozome Men Grey Briefs,men,brief,grey,chromozome,,True,False,True
142,17240,men,Apparel,Topwear,tshirts,black,Fall,2011.0,Casual,U.S. Polo Assn. Men Stripes Black  Polo Tshirt,men,,black,u s,,True,False,True
143,47530,women,Footwear,Shoes,flats,copper,Winter,2012.0,Casual,Portia Women Copper-Toned & Brown Sandals,women,,copper,portia,- tone brown,True,False,True
144,6617,men,Apparel,Topwear,shirts,black,Summer,2011.0,Casual,Spykar Men Black and white Check Shirt,men,shirt,black,spykar,white check,True,False,True
145,12732,unisex,Accessories,Bags,backpacks,black,Fall,2011.0,Sports,Nike Unisex Swoosh Black Backpack,unisex,backpack,black,nike,swoosh,True,False,True
146,3365,men,Apparel,Topwear,tshirts,black,Summer,2011.0,Casual,Myntra Men's Brain Black T-shirt,men,t shirt,black,myntra,,True,False,True
147,42042,men,Footwear,Shoes,sports shoes,white,Summer,2012.0,Sports,Nike Men Air Relentless 2 MSL White Sports Shoes,men,sport shoe,white,nike,air relentless msl,True,False,True
148,23849,men,Footwear,Shoes,casual shoes,black,Fall,2011.0,Casual,ADIDAS Men Black Anzo Breeze Casual Shoes,men,casual shoe,black,adida,anzo breeze,True,False,True
149,43190,women,Accessories,Watches,watches,white,Winter,2016.0,Casual,Fastrack Women White Dial Watch,women,watch,white,fastrack,dial,True,False,True
150,48578,men,Accessories,Jewellery,bracelet,steel,Summer,2012.0,Casual,Revv Men Steel Bracelet,men,bracelet,steel,revv,,True,True,True
151,30462,women,Apparel,Innerwear,bra,black,Summer,2014.0,Casual,Lovable Women All Day Long Black Bra,women,bra,black,lovable,day long,True,True,True
152,18208,men,Accessories,Headwear,caps,white,Fall,2011.0,Casual,Manchester United Men Solid White Cap,men,cap,white,manchester united,solid,True,False,True
153,54127,women,Footwear,Shoes,heels,black,Winter,2012.0,Casual,Rocia Women Black Heels,women,heel,black,rocia,,True,False,True
154,10065,men,Apparel,Topwear,tshirts,yellow,Fall,2011.0,Casual,Puma Men ducati logo tee Yellow Tshirts,men,,yellow,puma,,True,False,True
155,24250,men,Footwear,Shoes,casual shoes,white,Fall,2012.0,Casual,Numero Uno Men White Casual Shoes,men,casual shoe,white,numero uno,,True,False,True
156,32335,men,Accessories,Watches,watches,silver,Winter,2016.0,Casual,Q&Q Men Silver-Toned Dial Analogue Watch Q252J404Y,men,watch,silver,q q,- tone dial analogue,True,False,True
157,25382,men,Apparel,Innerwear,innerwear vests,white,Summer,2016.0,Casual,Levis Men White Innerwear Vest,men,innerwear vest,white,levis,,True,False,True
158,56670,men,Accessories,Watches,watches,black,Winter,2016.0,Casual,Maxima Men Black Dial Watch,men,watch,black,maxima,dial,True,False,True
159,5092,men,Apparel,Topwear,tshirts,purple,Summer,2011.0,Casual,Wrangler Men's Minstrel Shoulder Loop Purple T-shirt,men,t shirt,purple,wrangl,s minstrel shoulder loop,True,False,True
160,10859,men,Apparel,Topwear,tshirts,navy blue,Fall,2011.0,Casual,Wrangler Men Furious Rides Navy Blue T-Shirts,men,t - shirt,navy blue,wrangl,furious ride,True,False,True
161,59638,women,Apparel,Saree,sarees,green,Fall,2012.0,Ethnic,FNF Green Wedding Collection Sari,,,green,fnf,wedding collection sari,False,False,True
162,15517,men,Footwear,Shoes,casual shoes,red,Fall,2011.0,Casual,Rockport Men LLandro Red Casual Shoes,men,casual shoe,red,rockport,llandro,True,False,True
163,4140,women,Footwear,Shoes,casual shoes,green,Winter,2015.0,Casual,Skechers Women Green Shoe,women,,green,skecher,,True,False,True
164,36795,men,Accessories,Watches,watches,silver,Winter,2016.0,Casual,Maxima Men Ssteele Silver Dial Watch,men,watch,silver,maxima,,True,False,True
165,40527,men,Accessories,Watches,watches,gold,Winter,2016.0,Casual,Titan Men Gold Dial Watch,men,watch,gold,titan,dial,True,False,True
166,10257,men,Apparel,Bottomwear,trousers,black,Fall,2011.0,Formal,John Miller Men Solid Type Black Trousers,men,,black,john miller,,True,False,True
167,24062,men,Apparel,Topwear,tshirts,navy blue,Summer,2012.0,Casual,Locomotive Men Navy Blue Printed T-shirt,men,shirt,navy blue,locomotive,print t -,True,False,True
168,45869,men,Accessories,Watches,watches,brown,Winter,2016.0,Casual,Maxima Men Brown Dial Watch,men,watch,brown,maxima,dial,True,False,True
169,11385,women,Apparel,Topwear,sweatshirts,black,Fall,2011.0,Casual,United Colors Of Benetton Women Light Winter Black Sweatshirts,women,sweatshirt,black,,,True,False,True
170,53130,women,Footwear,Shoes,flats,brown,Winter,2015.0,Casual,Catwalk Women Brown Sandals,women,,brown,catwalk,sandal,True,False,True
171,44187,women,Personal Care,Fragrance,perfume and body mist,white,Spring,2017.0,Casual,Nike Fragrances Women 5th Element Perfume 150 ml,women,,,nike,,True,False,False
172,21510,women,Accessories,Bags,handbags,white,Winter,2015.0,Casual,Kiara Women Graphiti White Handbag,women,handbag,white,kiara,graphiti,True,False,True
173,51667,men,Accessories,Eyewear,sunglasses,grey,Winter,2016.0,Casual,Louis Philippe Men Grey Sunglasses,men,sunglass,grey,louis philippe,,True,False,True
174,22395,men,Apparel,Topwear,shirts,blue,Fall,2011.0,Casual,Mark Taylor Men Striped Blue Shirt,men,shirt,blue,mark taylor,stripe,True,False,True
175,35322,women,Accessories,Jewellery,earrings,silver,Winter,2016.0,Ethnic,Fabindia Women Anusuya Silver Earrings,women,earring,silver,fabindia,anusuya,True,False,True
176,6425,unisex,Footwear,Shoes,casual shoes,black,Summer,2011.0,Casual,Lotto Unisex Canvas Black Check Shoe,unisex,,black,lotto,,True,False,True
177,18806,men,Accessories,Belts,belts,tan,Summer,2011.0,Casual,Peter England Men Casual Tan Belt,men,belt,tan,peter england,,True,False,True
178,23247,men,Footwear,Shoes,formal shoes,black,Fall,2011.0,Formal,Arrow Men Formal Black Shoe,men,,black,arrow,,True,False,True
